町丁別世帯数と人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014年世帯数（世帯）,2014年人口（人）,2014年うち男性（人）,2014年うち女性（人）,2014年1世帯当たり人員（人）,2015年世帯数（世帯）,2015年人口（人）,2015年うち男性（人）,2015年うち女性（人）,2015年1世帯当たり人員（人）,2016年世帯数（世帯）,2016年人口（人）,2016年うち男性（人）,2016年うち女性（人）,2016年1世帯当たり人員（人）,2017年世帯数（世帯）,2017年人口（人）,2017年うち男性（人）,2017年うち女性（人）,2017年1世帯当たり人員（人）,2018年世帯数（世帯）,2018年人口（人）,2018年うち男性（人）,2018年うち女性（人）,2018年1世帯当たり人員（人）,2019年世帯数（世帯）,2019年人口（人）,2019年うち男性（人）,2019年うち女性（人）,2019年1世帯当たり人員（人）
総数,"85,148","178,194","88,810","89,384",2.09,"86,162","179,090","89,119","89,971",2.08,"87,091","179,796","89,629","90,167",2.06,"88,650","181,554","90,484","91,070",2.05,"89,838","182,658","90,946","91,712",2.03,"91,270 ","183,822 ","91,460 ","92,362 ",2.01 
富士見町全体,"9,655","19,782","9,788","9,994",2.05,"9,688","19,699","9,674","10,025",2.03,"9,718","19,555","9,598","9,957",2.01,"9,766","19,484","9,586","9,898",2,"9,825","19,442","9,560","9,882",1.98,"9,920 ","19,446 ","9,577 ","9,869 ",1.96 
富士見町1丁目,"1,972","3,947","1,912","2,035",2,"1,976","3,957","1,898","2,059",2,"1,981","3,936","1,876","2,060",1.99,"2,000","3,916","1,890","2,026",1.96,"1,985","3,897","1,863","2,034",1.96,"2,030 ","3,908 ","1,873 ","2,035 ",1.93 
富士見町2丁目,"1,586","2,933","1,423","1,510",1.85,"1,644","2,994","1,444","1,550",1.82,"1,613","2,962","1,433","1,529",1.84,"1,615","2,973","1,448","1,525",1.84,"1,619","2,976","1,477","1,499",1.84,"1,668 ","3,027 ","1,519 ","1,508 ",1.81 
富士見町3丁目,409,879,451,428,2.15,404,890,458,432,2.2,415,891,457,434,2.15,414,893,465,428,2.16,417,892,459,433,2.14,413 ,880 ,450 ,430 ,2.13 
富士見町4丁目,852,"1,720",900,820,2.02,842,"1,679",865,814,1.99,864,"1,686",888,798,1.95,899,"1,791",930,861,1.99,920,"1,825",958,867,1.98,894 ,"1,778 ",921 ,857 ,1.99 
富士見町5丁目,686,"1,414",698,716,2.06,676,"1,380",666,714,2.04,686,"1,370",658,712,2,682,"1,356",654,702,1.99,722,"1,395",680,715,1.93,734 ,"1,431 ",706 ,725 ,1.95 
富士見町6丁目,"2,666","5,342","2,643","2,699",2,"2,638","5,244","2,591","2,653",1.99,"2,649","5,201","2,546","2,655",1.96,"2,620","5,028","2,460","2,568",1.92,"2,630","4,976","2,419","2,557",1.89,"2,632 ","4,925 ","2,393 ","2,532 ",1.87 
富士見町7丁目,"1,484","3,547","1,761","1,786",2.39,"1,508","3,555","1,752","1,803",2.36,"1,510","3,509","1,740","1,769",2.32,"1,536","3,527","1,739","1,788",2.3,"1,532","3,481","1,704","1,777",2.27,"1,549 ","3,497 ","1,715 ","1,782 ",2.26 
柴崎町全体,"4,959","9,896","4,900","4,996",2,"5,001","10,012","4,964","5,048",2,"5,071","10,081","4,995","5,086",1.99,"5,094","10,154","5,054","5,100",1.99,"5,220","10,239","5,108","5,131",1.96,"5,292 ","10,288 ","5,133 ","5,155 ",1.94 
